season,player_id,player,team,age,experience,games,games_started,minutes,per,true_shooting,usage_rate,bpm,vorp,win_shares,ws_per_48,obpm,dbpm,reb_rate,ast_rate,stl_rate,blk_rate,tov_rate,three_pt_rate,team_pace,team_wins,team_season_key,minutes_per_game,qualified
1997,buechju01,Jud Buechler,CHI,28.0,7,76,0.0,703.0,9.8,0.423,12.1,-0.9,0.2,1.2,0.082,-1.7,0.9,10.1,11.4,1.7,2.2,14.1,0.342,90.0,69.0,CHI_1997,9.2,0
1997,bullama01,Matt Bullard,HOU,29.0,6,71,12.0,1025.0,10.3,0.535,15.0,-0.3,0.4,1.7,0.08,-0.4,0.1,6.6,10.0,1.1,1.3,11.3,0.644,91.6,57.0,HOU_1997,14.4,1
1997,burresc01,Scott Burrell,2TM,26.0,4,57,2.0,939.0,10.3,0.483,17.4,-1.8,0.1,0.8,0.042,-1.7,-0.1,10.1,12.1,1.6,1.5,14.8,0.428,,,2TM_1997,16.5,0
1997,burtowi01,Willie Burton,ATL,28.0,6,24,2.0,380.0,8.6,0.507,21.3,-4.7,-0.3,0.5,0.06,-4.2,-0.5,6.4,4.8,1.2,0.6,15.1,0.397,86.8,56.0,ATL_1997,15.8,0
1997,butlemi02,Mitchell Butler,POR,26.0,4,49,1.0,465.0,9.0,0.503,16.9,-2.9,-0.1,0.6,0.063,-3.0,0.1,6.8,10.0,1.5,0.3,15.5,0.312,90.9,49.0,POR_1997,9.5,0
1997,caffeja01,Jason Caffey,CHI,23.0,2,75,19.0,1405.0,14.3,0.574,18.3,-2.5,-0.2,3.9,0.134,-1.2,-1.2,12.1,9.3,0.9,0.5,16.9,0.003,90.0,69.0,CHI_1997,18.7,1
1997,cagemi01,Michael Cage,PHI,35.0,13,82,24.0,1247.0,10.3,0.475,6.0,-0.8,0.4,2.0,0.078,-1.8,1.0,14.0,4.9,1.9,2.4,9.7,0.0,95.3,22.0,PHI_1997,15.2,1
1997,caldwad01,Adrian Caldwell,2TM,30.0,5,45,0.0,569.0,7.5,0.443,10.6,-6.9,-0.7,0.2,0.016,-5.6,-1.3,16.0,3.1,1.4,1.0,19.7,0.022,,,2TM_1997,12.6,0
1997,cambyma01,Marcus Camby,TOR,22.0,1,63,38.0,1897.0,17.8,0.523,24.3,-0.1,0.9,3.7,0.095,-0.7,0.6,12.2,9.6,1.8,5.5,13.0,0.018,90.6,30.0,TOR_1997,30.1,1
1997,campbel01,Elden Campbell,LAL,28.0,7,77,77.0,2516.0,16.8,0.52,22.0,-0.6,0.8,7.0,0.134,-0.6,0.0,14.0,8.6,1.0,3.5,10.5,0.004,91.1,56.0,LAL_1997,32.7,1
1997,carran01,Antoine Carr,UTA,35.0,13,82,0.0,1460.0,12.1,0.522,20.8,-3.1,-0.4,2.4,0.079,-2.8,-0.3,8.3,8.2,0.9,3.6,11.5,0.006,90.0,64.0,UTA_1997,17.8,1
1997,carrch01,Chris Carr,MIN,22.0,2,55,10.0,830.0,13.3,0.556,18.8,-0.9,0.2,1.7,0.096,-0.6,-0.3,8.0,9.8,1.5,0.9,10.9,0.325,90.7,40.0,MIN_1997,15.1,0
1997,carruji01,Jimmy Carruth,MIL,27.0,1,4,0.0,21.0,9.7,0.727,9.8,-3.0,0.0,0.0,0.09,-6.1,3.1,11.7,0.0,0.0,7.1,22.5,0.0,89.5,33.0,MIL_1997,5.2,0
1997,cassesa01,Sam Cassell,3TM,27.0,4,61,44.0,1714.0,18.4,0.541,27.3,2.2,1.8,3.9,0.108,2.2,0.0,6.0,31.8,2.3,0.8,15.8,0.295,,,3TM_1997,28.1,1
1997,causwdu01,Duane Causwell,SAC,28.0,7,46,8.0,581.0,8.9,0.535,11.1,-3.6,-0.2,0.7,0.06,-5.2,1.6,12.7,5.1,1.4,4.9,23.6,0.032,91.0,34.0,SAC_1997,12.6,0
1997,cebalce01,Cedric Ceballos,2TM,27.0,7,50,40.0,1426.0,16.2,0.522,24.7,-1.8,0.1,2.4,0.082,-0.1,-1.7,13.5,7.6,1.2,1.2,10.8,0.165,,,2TM_1997,28.5,1
1997,chambto01,Tom Chambers,CHH,37.0,15,12,5.0,83.0,-3.9,0.29,23.7,-16.9,-0.3,-0.4,-0.239,-12.0,-4.9,10.2,7.2,0.7,0.0,21.6,0.097,88.6,54.0,CHH_1997,6.9,0
1997,chapmre01,Rex Chapman,PHO,29.0,9,65,33.0,1833.0,15.2,0.551,22.4,0.2,1.0,3.3,0.086,1.3,-1.0,5.8,16.3,1.5,0.3,10.5,0.419,93.2,40.0,PHO_1997,28.2,1
1997,cheanca01,Calbert Cheaney,WSB,25.0,4,79,79.0,2411.0,11.1,0.53,16.5,-2.5,-0.3,3.9,0.077,-2.6,0.1,6.5,7.2,1.7,0.6,10.6,0.041,92.4,44.0,WSB_1997,30.5,1
