player,team,age,mp,per,pred_2027,delta,direction,age_group,tier
Isaiah Collier,UTA,21.0,1517.0,14.8,15.705,0.905,Rise,<=24,Starter
Norman Powell,MIA,32.0,1717.0,17.5,15.69,-1.81,Fall,31+,Starter
Cam Spencer,MEM,25.0,1714.0,17.2,15.573,-1.627,Fall,25-27,Starter
Isaiah Stewart,DET,24.0,1317.0,15.2,15.557,0.357,Hold,<=24,Starter
DeMar DeRozan,SAC,36.0,2406.0,17.8,15.536,-2.264,Fall,31+,Starter
Bennedict Mathurin,2TM,23.0,1620.0,14.7,15.514,0.814,Rise,<=24,Starter
Matas Buzelis,CHI,21.0,2248.0,14.8,15.491,0.691,Rise,<=24,Starter
Gary Payton II,GSW,33.0,1142.0,18.3,15.429,-2.871,Fall,31+,Starter
Derrick White,BOS,31.0,2625.0,16.0,15.413,-0.587,Fall,31+,Starter
GG Jackson II,MEM,21.0,1178.0,15.6,15.302,-0.298,Hold,<=24,Starter
Paul George,PHI,35.0,1135.0,16.7,15.204,-1.496,Fall,31+,Starter
Saddiq Bey,NOP,26.0,2246.0,17.1,15.201,-1.899,Fall,25-27,Starter
Precious Achiuwa,SAC,26.0,1745.0,16.2,15.066,-1.134,Fall,25-27,Starter
Brice Sensabaugh,UTA,22.0,1762.0,14.4,14.939,0.539,Rise,<=24,Bench
Tari Eason,HOU,24.0,1549.0,12.9,14.932,2.032,Rise,<=24,Bench
Jabari Smith Jr.,HOU,22.0,2705.0,13.5,14.931,1.431,Rise,<=24,Bench
Jock Landale,2TM,30.0,1506.0,16.6,14.913,-1.687,Fall,28-30,Bench
Jay Huff,IND,27.0,1719.0,15.2,14.886,-0.314,Hold,25-27,Bench
OG Anunoby,NYK,28.0,2224.0,15.8,14.878,-0.922,Fall,28-30,Bench
Bones Hyland,MIN,25.0,1177.0,15.1,14.861,-0.239,Hold,25-27,Bench
Jaylin Williams,OKC,23.0,1277.0,13.8,14.781,0.981,Rise,<=24,Bench
Josh Hart,NYK,30.0,1994.0,15.7,14.745,-0.955,Fall,28-30,Bench
Nickeil Alexander-Walker,ATL,27.0,2603.0,16.5,14.697,-1.803,Fall,25-27,Bench
Collin Gillespie,PHO,26.0,2282.0,15.3,14.694,-0.606,Fall,25-27,Bench
