player,team,age,mp,per,pred_2027,delta
Naji Marshall,DAL,28.0,2184.0,15.4,14.346535771537049,-1.0534642284629516
Grayson Allen,PHO,30.0,1467.0,16.1,14.337939264629652,-1.7620607353703495
Isaiah Joe,OKC,26.0,1507.0,15.5,14.236537702719364,-1.2634622972806362
CJ McCollum,2TM,34.0,2264.0,15.9,14.173523284610884,-1.7264767153891167
Danny Wolf,BRK,21.0,1187.0,12.3,14.167842627017555,1.8678426270175539
Craig Porter Jr.,CLE,25.0,1148.0,13.7,14.15487645785598,0.4548764578559812
Andrew Wiggins,MIA,30.0,2063.0,15.1,14.01911230632431,-1.08088769367569
Mikal Bridges,NYK,29.0,2692.0,15.3,14.000226051893954,-1.299773948106047
Anfernee Simons,2TM,26.0,1372.0,14.4,13.906604587509612,-0.4933954124903881
Devin Vassell,SAS,25.0,2044.0,13.0,13.900641126666113,0.9006411266661125
Oso Ighodaro,PHO,23.0,1808.0,13.8,13.891049141478234,0.09104914147823351
Kyshawn George,WAS,22.0,1391.0,13.8,13.839509437373406,0.03950943737340573
Bilal Coulibaly,WAS,21.0,1468.0,13.5,13.835880649700876,0.3358806497008757
Malik Monk,SAC,27.0,1364.0,14.2,13.816477844091025,-0.38352215590897387
Adem Bona,PHI,22.0,1234.0,12.8,13.81183758916702,1.011837589167019
De'Anthony Melton,GSW,27.0,1125.0,13.4,13.785468692437263,0.38546869243726256
Tobias Harris,DET,33.0,1746.0,15.0,13.7786820932791,-1.2213179067209001
Cameron Johnson,DEN,29.0,1647.0,12.8,13.759234730232706,0.9592347302327049
Christian Braun,DEN,24.0,1399.0,12.6,13.747838670192134,1.1478386701921348
Quentin Grimes,PHI,25.0,2206.0,12.9,13.743087299371485,0.8430872993714846
Cason Wallace,OKC,22.0,2046.0,12.1,13.74300196691476,1.6430019669147597
Jaden McDaniels,MIN,25.0,2316.0,14.0,13.740826439776546,-0.25917356022345395
Ace Bailey,UTA,19.0,1988.0,11.6,13.655202749293117,2.0552027492931177
Julian Champagnie,SAS,24.0,2266.0,13.1,13.599627175862947,0.4996271758629476
Dru Smith,MIA,28.0,1141.0,14.5,13.549153950415052,-0.950846049584948
Moses Moody,GSW,23.0,1540.0,13.5,13.433213206450812,-0.0667867935491877
Jerami Grant,POR,31.0,1695.0,15.4,13.423814373864026,-1.9761856261359743
Daniss Jenkins,DET,24.0,1455.0,13.4,13.422059324415374,0.022059324415373283
Will Riley,WAS,19.0,1633.0,12.1,13.412519679162767,1.312519679162767
Ron Holland,DET,20.0,1551.0,11.7,13.408353925609449,1.7083539256094493
Russell Westbrook,SAC,37.0,1853.0,15.1,13.364081008760646,-1.7359189912393536
Nae'Qwan Tomlin,CLE,25.0,1004.0,12.9,13.34275138416543,0.4427513841654296
Mouhamed Gueye,ATL,23.0,1179.0,12.0,13.332068602568608,1.332068602568608
P.J. Washington,DAL,27.0,1736.0,13.1,13.271627706602994,0.17162770660299387
Jarace Walker,IND,22.0,1953.0,11.5,13.252076659848198,1.752076659848198
Aaron Wiggins,OKC,27.0,1414.0,11.7,13.14842085243164,1.4484208524316404
Kyle Kuzma,MIL,30.0,1806.0,14.1,13.144685813408481,-0.9553141865915187
Jake LaRavia,LAL,24.0,2061.0,11.9,13.107124035344441,1.2071240353444406
Pelle Larsson,MIA,24.0,1849.0,13.1,13.087760949388764,-0.012239050611235314
Zaccharie Risacher,ATL,20.0,1503.0,11.8,12.995290654801918,1.1952906548019175
Noah Clowney,BRK,21.0,1780.0,11.2,12.937236694870858,1.7372366948708589
Donte DiVincenzo,MIN,29.0,2494.0,12.5,12.922579883610567,0.42257988361056675
Quinten Post,GSW,25.0,1159.0,13.0,12.853329382035705,-0.14667061796429515
Egor Dёmin,BRK,19.0,1308.0,11.3,12.849324309306272,1.5493243093062716
Ryan Nembhard,DAL,22.0,1171.0,10.9,12.804145531299353,1.9041455312993527
Alex Caruso,OKC,31.0,1020.0,12.8,12.79491891269227,-0.00508108730773138
Jared McCain,2TM,21.0,1160.0,11.6,12.757665868267786,1.1576658682677863
De'Andre Hunter,2TM,28.0,1176.0,11.4,12.662459934503786,1.2624599345037861
Tre Johnson,WAS,19.0,1443.0,10.6,12.609486542612895,2.009486542612896
Jericho Sims,MIL,27.0,1318.0,12.9,12.589011616560745,-0.3109883834392555
Jordan Goodwin,PHO,27.0,1572.0,14.7,12.557722957613187,-2.1422770423868123
Pat Spencer,GSW,29.0,1229.0,12.1,12.514744433277084,0.4147444332770842
Dillon Brooks,PHO,30.0,1702.0,14.1,12.49296289170374,-1.6070371082962591
Javonte Green,DET,32.0,1446.0,14.1,12.461673604390931,-1.6383263956090683
Derrick Jones Jr.,LAC,28.0,1350.0,13.3,12.428625358969798,-0.8713746410302026
John Konchar,2TM,29.0,1115.0,13.6,12.426027844268525,-1.1739721557314748
Jarred Vanderbilt,LAL,26.0,1128.0,11.2,12.38500117673981,1.18500117673981
Jordan Walsh,BOS,21.0,1212.0,13.1,12.372398448518734,-0.7276015514812659
Khris Middleton,2TM,34.0,1439.0,10.9,12.346463601452033,1.4464636014520327
Corey Kispert,2TM,26.0,1080.0,13.1,12.325049533065137,-0.7749504669348628
